Sample,HMDB,KEGG ID,1N,2N,3N,4N,5N,6N,7N,8N,1V,2V,3V,4V,5V,6V,7V,8V
Label,,,abx + FMTCTR,abx + FMTCTR,abx + FMTCTR,abx + FMTCTR,abx + FMTCTR,abx + FMTCTR,abx + FMTCTR,abx + FMTCTR,abx + FMTDNBS,abx + FMTDNBS,abx + FMTDNBS,abx + FMTDNBS,abx + FMTDNBS,abx + FMTDNBS,abx + FMTDNBS,abx + FMTDNBS
Lactate,HMDB0000190,C00186,1.9032,2.5376,0.5655,0.5564,0.5421,0.7059,2.1112,0.3783,0.4732,0.4797,0.5447,0.2756,0.247,0.3835,0.5278,0.3354
3-Hydroxybutyrate,HMDB0000357,C01089,0,0,0.0494,0.0676,0,0,0,0.0325,0.3016,0.1352,0.0858,0.0689,0.0442,0.078,0.0533,0.0507
Acetoacetate,HMDB0000060,C00164,0.0728,0.0403,0.0754,0.1625,0.0247,0.0598,0.0442,0.1157,0.0923,0,0.0858,0.0429,0.026,0.0273,0.0702,0.1261
Formate,HMDB0000142,C00058,0.0871,0.091,0.1196,0.2223,0.1131,0.2015,0.1768,0.2717,0.2314,0.0806,0.1365,0.0793,0.052,0.0962,0.1898,0.1053
Ethanol,HMDB0000108,C00469,0.4238,0.4459,0.1105,0.1651,0.3614,0.1547,0.4654,0.182,0.1599,0.2327,0.3133,0.2678,0.6227,0.3679,0.312,0.1144
Methanol,HMDB0001875,C00132,0.429,0.3809,0.2535,0.2405,0.4576,0.3146,0.5447,0.3705,0.2249,0.5603,0.3523,0.3848,0.4693,0.3497,0.3614,0.3848
"2,3-Butanediol",HMDB0003156,C00265,0.0949,0.0481,0.0338,0.0494,0.0429,0,0.104,0.0702,0.091,0.0442,0.0273,0.0351,0.0078,0.0221,0.0702,0.039
Propylene glycol,HMDB0001881,C02912,0.0299,0.013,0,0,0.0117,0.026,0.0273,0.0273,0,0.0182,0.013,0.013,0.0078,0.0026,0.0273,0.0221
Phenylacetate,HMDB0000209,C07086,0.2392,0.1651,0.2964,0.2717,0.3536,0.1586,0.273,0.3107,0.3302,0.2067,0.2275,0.156,0.3926,0.1534,0.1417,0.2873
4-Hydroxyphenylacetate,HMDB0000020,C00642,0.2782,0.3484,0.2496,0.4186,0.1092,0.3861,0.2093,0.6058,0.4485,0.4745,0.2171,0.0949,0.1144,0.0923,0.3939,0.1677
